[4869131253,eau de V,123.27145774010823]
[793111227518124033,🌷🌷🌷,4.819059549584921]
[182589621,Nesie Ree,4.788250019330425]
[1083470033475518464,Chicago River Barge,4.752113044873172]
[2862857284,Richard Bradbury,4.735240036664795]
[764496668918181888,peesho!,4.672678996684767]
[112977138,Sharmita,4.648143330888926]
[902830537,grace,4.59607907629]
[720150360,Pascal ter Heege,4.580726789115123]
[796435172350562304,Willow M.,4.579537971565218]
[4758955434,sheri oakes,4.522454334571509]
[462899738,mirandabroos,4.4891550951316495]
[1257884280,hustle,4.451070466756698]
[3442678401,🦋💘eulyn🇸🇽🇺🇸ᴬᴰᴺ,4.441309488628931]
[94159428,Quwrof Wrlccywrlir (pronounced Boss),4.434563825523604]
[68257353,rpsportstraining,4.382094205534239]
[837037549159841794,Becky,4.34154486900611]
[1100115393530589184,Jenni Miller,4.3154026945843995]
[872132896856743936,xxxUWUxxx,4.25232258912458]
[125755129,Shayani Weeresinghe,4.213231255124362]
[2360026057,c✨,4.204104957142319]
[1056603142614335489,Dur Mohammad,4.190201930262152]
[2908104162,Marilyn Meyer,4.162759553994757]
[1033101506503958528,Chris Lank,4.129681624907756]
[3001527376,Tellechea William,4.0945056714289825]
[933740520479784960,Mel 🌸 april and a flower,4.075794613431435]
[1876425080,cαδδιε,4.071719681105955]
[201899932,Cap,4.014843518960607]
[121158015,Pascal Ratinaud,3.9852343970484605]
[774217543,Josh Borjas,3.9596685509167844]
[76682746,Wybren Bakker,3.955711975513239]
[15740622,Mother of Devons,3.906475451574619]
[1959895206,G Guerrero Photo,3.8824385529565175]
[624356448,Brandon @ NERO,3.854650082493786]
[1067627713769295873,Ardianti Cristin,3.845149123537343]
[710897564573261825,TheLusbyGroup of Keller Williams Gateway,3.804484303234077]
[560427141,Mark Arnold,3.7865759576234788]
[190317363,Rikhy Ray,3.7555545408567723]
[719577382575714304,🖤,3.742532371803421]
[1110616891373035520,Jose Antonio,3.7078030822508707]
[618513452,Budget Bytes,3.685157655959049]
[17619872,Peter Delaunay,3.6625987568501235]
[906570404579495936,mina misses eunkwang,3.6461159469524747]
[820869787328925697,yall: *speak* me: 0 bars,3.6177361597091955]
[58633071,Marcia McIntosh,3.6024028598557942]
[999377354265841664,🐾🐾Ming🐾🐾,3.574796873480548]
[959590358391934977,Viktor Godjevac,3.5558202935329866]
[1892747228,jordiana,3.531909834143117]
[768288811,Ghazoua Ltaief,3.523588662132183]
[801796786788724736,Hamza,3.4903032241646788]
[164727154,Imani 🌻,3.449579412990341]
[1068728846084640768,emily,3.4484332451080877]
[1044487321,👼🏾Angel 👼🏾,3.448334410057193]
[824128861126397952,Ryan O'Rear,3.3769999687449395]
[228241061,Sickweather,3.3714239293239316]
[2241051079,Trump45,3.3714239293239316]
[1101006425814265856,Aprilia rahmawati,3.368794012649035]
[783742172675776512,🌻,3.3338190998113024]
[2390135086,Alejandro,3.3329282185208666]
[2991902177,lovefeet,3.2969456771899224]
[874084576196304896,Dionicio3 Skiddo,3.2931412619228775]
[2976470296,Alyssa baker,3.2586680478738437]
[29500285,Liquor Outlet NJ,3.2245853639501547]
[326670291,✨🌻Rory🌻✨,3.2210909686495555]
[949407718711943170,JohnCenaLovesBTSMoreThanIDo,3.218602964810507]
[2457731191,我がYankeesは永久に不滅です！,3.208597199768482]
[2485613407,Seneca Falls CSD,3.1917614741120803]
[18279861,Amber Myers,3.160999166231502]
[30415003,!$R@R,3.15919248747817]
[554750022,bri 🌼,3.156382429747949]
[2940444835,다니♡,3.152385495935575]
[2786487950,May,3.129078789879996]
[3028110918,Emily McMeen,3.0979072956633886]
[372422025,Ginger,3.0872175564101347]
[967587062,🇿🇦★👑 S'thembiso👑★🇿🇦,3.0716213738680067]
[853743000,Bob Noller,3.067236072459383]
[442372206,Courtney lewis,3.0372181561987808]
[889720740265816064,ng  *:･ﾟ✧*:･ﾟ✧,3.0249401152653883]
[809527262,Kandy Hurley,3.0165326448330467]
[1069720247404519424,gayfaptime2,3.0080059838365396]
[1115013290269323264,madthebadlad,2.9794039152208645]
[2357174684,Jem,2.9642469986286657]
[862356376290557954,OKpeople,2.951738963186174]
[15824098,Missouri State,2.9241232109136326]
[819227908975820800,Luke Cartwright,2.9080702918822214]
[27934142,Stewart Mandel,2.8970636631035]
[1089596506531905536,JK,2.870543247802632]
[140782706,Paul AlbadaJelgersma,2.855851936191452]
[3160263973,DuncanvilleFB,2.844718979983911]
[1569239803,Jon Schmidt,2.819573247274646]
[726431624804573184,Lashawnda ✨,2.794570028230486]
[158307287,Farid,2.7703303091313307]
[1020171132962557953,ifeoma🕊,2.746438788016486]
[726716002520682496,𝕬𝖞𝖊𝖘𝖍𝖆,2.7285667645429763]
[337276933,ellie,2.722823222081298]
[899132223588253696,Sourabh Sharma,2.708467760695629]
[3175198890,OM,2.7001562253404927]
[279756354,Megan,2.699645186434012]
[1011396699380682752,basil,2.698920230625306]
[948462855598301184,AsToldByCharity🌻,2.6768923169396763]
[921586986015539200,Laisha 🦋,2.655070192702251]
[742229967652544512,뮤훈 ~,2.6547259241624976]
[991040087256268800,Omelette du Fromage,2.6531319995529774]
[525792573,Oluchi,2.640745549542953]
[1074821756215541760,Mitri🧸💍,2.6329598398074774]
[2266451137,$@¿¿@[),2.6115830766289507]
[3861433641,Street Art Magic,2.61112388898926]
[978660090701139968,zeni,2.591940228433261]
[4923484140,Ally,2.5904120782871516]
[1078265142406717441,« $ »,2.576394836932597]
[4760941453,iconic industries,2.5697841805257844]
[4895848726,Choosy Beggar,2.569265647089945]
[959121797084938241,Meganne💛,2.549341948819726]
[103217665,emma ஃ 閻魔,2.534159774355499]
[219468631,ryan weeks,2.530207150318438]
[141176802,Shiyad,2.5282589688597863]
[3332336051,eggsy,2.4954159028474345]
[471712231,Mount Thee Mustang ⚰️,2.494235345281855]
[723048775942475776,dubabtralala,2.4883525874011694]
[878650598043856899,Enjoy Nature 🌻+☀️=💛,2.4863792577051194]
[353265933,evan hoffman,2.476281543657704]
[2173903280,newt 🦖,2.4567867900065643]
[973227131802193920,Ms.LS (Savannah),2.438445015448724]
[1665644575,kim williams,2.4231534769205902]
[703738292290887682,theresahouck,2.4203986812225278]
[909390989357281280,Dazai solo stan//ia,2.4026405194682097]
[1101002394194784256,Siti salsabila,2.3862753691006833]
[2981543248,john,2.3851635017828183]
[19724912,Nicola J,2.3679608293658507]
[1928136188,M.D.,2.3647622078510064]
[1929626281,Katelyn,2.3511982469694064]
[1069313173122138113,𝙎𝙃𝘼𝘿𝙊𝙒ᵇᵃˢᵉ,2.3505973039069104]
[837075512245747713,Sharon,2.334523518557046]
[1398355892,Grace Daniels,2.318792285882845]
[4826481694,gashina,2.316060162530555]
[619279406,Sya Sisi,2.3158674320979986]
[2717383261,Jazzy May,2.287452746279528]
[600311012,Dr. Angela Cassidy,2.2841852909013918]
[1580751108,Gabbie🌻,2.2720969380341107]
[3012613936,Spartan Football,2.2566285015901055]
[788574846594715648,Mari🌸,2.251168657652223]
[1034428802686967808,𝒞𝒶𝒾𝓉,2.2502791417375008]
[21354186,Maja M-G,2.2415588353884974]
[937067455,Bristol Global,2.2335848190934393]
[1066364739566166018,3Sisters,2.226679316068812]
[4912370413,house,2.218093325683142]
[1064574793,🧛🏽‍♀️🖤’,2.2120470265201777]
[915344622464802816,two-foot Tori,2.1869963819265354]
[954119447962357760,𝔞𝔪𝔦𝔯𝔞 | 𝗣𝗘𝗥𝗦𝙊𝙉𝘼 & HΘMΣCΘMING,2.1868695113649133]
[561578910,Arándano Boutique,2.1841508739986892]
[3792290725,Marie Nassar,2.1704765716748518]
[1065400894819319809,𝚖𝚎𝚎𝚝𝚒𝚗𝚐 𝚟𝚊𝚟 𝚊𝚗𝚍 𝚜𝚎𝚎𝚒𝚗𝚐 𝚗𝚌𝚝 !,2.159535953913459]
[1114173461906243585,🐉,2.156826071944523]
[2977940429,alan read,2.1559376444289216]
[1689606158,Belinda Greb,2.153836327669363]
[1110954415022759936,PATRIOT🇺🇸,2.1275501950059565]
[2815866773,Estelle Guyon Abinal,2.1261355037643668]
[891137485476044802,syd ¨̮,2.101159961784941]
[889218314177658881,Rita Shuker,2.0997340814039114]
[329401331,kyllá,2.0983058949838593]
[1093783682794643456,Amy's Animals,2.0881095698717727]
[898984788899622914,ForTheCulture 🍑,2.0803423928118323]
[164463206,❁ lauren ❁,2.075538815777364]
[1100990662944600071,Salsa rahmawati,2.0723292267105404]
[39429252,Aava Whistler Hotel,2.062833239425153]
[14774403,John HB Manderson,2.0526491163101555]
[1011865440,four.27 🌻,2.0502957344002875]
[1706218016,𝔯𝔞𝔢♡𝔰𝔬𝔩𝔡𝔦𝔢𝔯 𝔣𝔦𝔢𝔩𝔡 [boy with luv],2.0459797543049025]
[361444369,UOIT Alumni,2.0379228999785286]
[351768198,🐯1.V.IVILILING.🌿💯,2.02691345011652]
[586431955,Jon Dixon,2.025711427733797]
[770577992,Troll @ To Be Announced,2.0207620036322567]
[724868290166792192,TallTreeBoy🌳,2.0138297034551482]
[927767596912562176,♥️LiveLoveLaugh♥️,2.0029411630024248]
[830258489922617345,Stagger & Lurch,2.002101882057028]
[2913287282,21 Average,2.0013723301736825]
[3466713613,More Conviction!,1.9958145452374703]
[22192694,Gladstone Hotel,1.9903540956093158]
[2385674599,Marilyne Jollineau,1.9771541979605085]
[914967709988814851,Kannan 🔦,1.9759258719631458]
[1398757519,ً,1.9735846385752913]
[843946310210387968,✨Steph🍣✨,1.9659587792712376]
[259321303,Jo Malone CBE,1.9547330574143382]
[1066100498187649028,Wolfgang Nitze,1.952023688847197]
[720802310,santiago,1.9503161617557476]
[1011628080,KarmaStayTru,1.9436459177267684]
[776197361580199936,NINA SNOW🤩,1.9326947421036418]
[262813710,Hoogeveen Nieuws,1.9284655769103025]
[716549449292578817,Webcamsex Girls (+18),1.9279256181998061]
[911957846757072897,🌸spring time bapy!🌸,1.921876978816637]
[1589053664,damn.,1.912042935881776]
[864548135938531333,(snaps fingers) I’m bastard,1.9059659354772471]
[898010639993495555,wrys,1.904465773986737]
[858549320,Stan Collins,1.901479885560822]
[364891448,David K. Pettit,1.8910430262759506]
[2595357661,alexis ⵄ,1.8842735796326535]
[81220700,Beaverton Kia,1.8816184836781107]
[1479184610,marla.,1.8812403679349752]
[321981609,Jenna,1.8715140573850806]
[60016385,M Shah,1.8665171946953356]
[1045974053503340545,ʜᴀɴɴᴀʜ 💋,1.8632831353156307]
[845161251290279936,Jheri Mae,1.8614368989662375]
[45130813,Sabine Mueller,1.860595931042896]
[3176319164,vis৸ | HΘMΣCΘMING,1.8577496241332194]
[1012826604102438917,E L L A 🤟🏽 boi com amor 🐂,1.8514770955605684]
[2256504691,N⭕⭕➰❗E 🌟💫,1.8454002824069542]
[1066579445467688960,Rizal Prihastomi,1.8432142836512817]
[900826676271218689,Elizabeth Achee,1.8401731051835457]
[933383502157922305,Human Boundaries,1.838887714761895]
[526584707,MK$,1.830509574021308]
[4904486990,Priyanka's Bridesmaid,1.8232328509672886]
[696004114325569545,🌻🌻🌻Mara ser 💖💗💋,1.8209558167813045]
[349450606,Nifeshoe,1.819401482988394]
[2604697861,Amb🌹,1.8117999134701772]
[1015375789163012096,chiara b ✨,1.803327114805952]
[751722272646434820,Jude Haste - Writer,1.8025073093597612]
[1109367327135547393,Cordelia,1.8024585254595655]
[899893561222729728,sophie,1.798741088629171]
[2615432759,Jaleyah,1.7938962276404262]
[3404038678,Monika Kobus,1.7887822347928186]
[703686494398058497,Hélia aime Stray Kids,1.7847580119545425]
[1108971005865684992,𝖘𝖔𝖕𝖜𝖎,1.7838883882980054]
[2701345417,Omukiga kashushu👈,1.7788894859086333]
[3027168761,Cam,1.7757205106832712]
[378186238,aleхander тнe greaт,1.766485421007825]
[1084268614469988352,lau, we are one 7th anniversary,1.7649000037203493]
[22063514,Emma,1.759343634995058]
[133569389,Gabrielle Farrell,1.754985590362565]
[19449948,Eric Wilhelm,1.7506421831680083]
[1014751242709585920,✨ EXO’s Universe ✨,1.7463460870200924]
[2935131692,Zaria,1.7422010956802365]
[442418578,geodude,1.7363731143211132]
[25616647,Rachel Beckman,1.733683553001135]
[354418056,Elena Naumovski,1.7290232250662203]
[433088544,j daddy,1.7254233889698185]
[303202274,Susanna Reece,1.7181953846105809]
[3066794588,Rhman,1.7125777633319768]
[1067621549962756096,Erni Dinda,1.7120939490627485]
[421870410,Zoë,1.7095917216294427]
[3148346610,Hockey Time AB,1.7017180779942112]
[897774317966168064,jaz,1.7004370686719563]
[920049214209523714,ғ,1.6947391005403347]
[584100540,ChelseaGrotonBank,1.6936310335699538]
[3724178831,@crazcatlady,1.6863236799912635]
[560392592,Chel,1.6827800001892432]
[268011011,Ymir.🐞,1.6821407130448005]
[248081008,Lorena Guimaraes,1.6783984183356593]
[31087370,Thomas Kyhn Rovsing Hjørnet,1.6781666346279027]
[4043864915,Midnight Valkyrie's Sanctuary  "Sharing the Love",1.6747196618519804]
[788564616871809024,the hybrid agent,1.6707204558680413]
[16929133,Lizzie Day,1.6655171859807187]
[1086225071943966721,𝐦𝐞𝐫𝐜𝐮𝐫𝐲&𝐦𝐞,1.6630604031530283]
[1086007120619802624,tatum,1.662954406611316]
[1035261343,abbi fede🌸,1.6552665002236684]
[996881625643405313,Cedars Resort,1.648940684085055]
[70794010,OklahomaOralHistory,1.6476555319537836]
[915245811163910145,니나 | ℓove wins ♡ muℓtifandom,1.6471849647614274]
[877107941681184769,SMILEY TWEETS☺,1.6438629431701062]
[826024222849892352,Michael R von Einem,1.633640062925266]
[975604676,Pablo Jordan Sanchis,1.6334522433931489]
[922547466003722247,HoogoverWezep,1.6312482835292028]
[450715495,ajdixonphotography,1.6266385593278239]
[983823719528267777,Pashtun SpringPTM,1.6260615196027288]
[144632531,Rainstorm,1.619407146599248]
[357887555,YodaBauer 🚗 #SWCC,1.617466972888906]
[1002329093973659648,Timmy Anderson,1.616624443855709]
[3298746668,Camila 🎀,1.615643413884453]
[621321375,L(esbian)ouis,1.6074270590344388]
[954173621710282753,ؘdionysus,1.6041964400889506]
[2515112823,Tareq Qawasmi,1.6016383707630832]
[831447361347923968,JMJR913,1.6003598313625398]
[1095907099736002561,Aiman Khan,1.6003426508678473]
[1079824501234266112,Janasainik (Vote For Glass),1.599390530854176]
[21289703,paul van gelder,1.5978562281575444]
[509614470,Kev ‼️,1.5941541584242853]
[982305488728539136,chris capriotti,1.5872003619644774]
[765288767225683969,✮ The Stars and Us ✮,1.5865164355854509]
[19673609,Glyn 🏴󠁧󠁢󠁷󠁬󠁳󠁿🖤 Avenge The Fallen,1.5857776535595591]
[353774291,Agenda van Schiedam,1.5855398438832422]
[4226194690,💝Hunny jassi 2💝,1.5813643257271537]
[923701195775995905,Liz 🍻,1.5804416578053884]
[4836609513,The Prospering Individual,1.5747703506673523]
[97899075,สิ่งเล็กๆที่เรียกว่าติ่ง~ 陪你到退休,1.5722999739141417]
[1051742535880708096,Teddy Bear. (Abeer ka birthday ♥️),1.5710803776372977]
[554445182,Amsandra Johansson,1.5708676123853864]
[981161160975110146,캐서린 🖤 스테이 | MIROH 4419,1.56800526304909]
[948970586713280513,Raquel boujo,1.5614672248497414]
[4274124252,𝕒𝕓𝕓𝕪 🎆💫,1.5583578899811334]
[2369025786,kookie🍪💜,1.557990723524758]
[981130034344792064,тαєнуυиg ☆ρєяѕσиα☆,1.5569874679035869]
[205879411,plabitha fern thit,1.556889664992132]
[482492371,NNORTH70,1.5565778572281175]
[1084246625076207616,Kettlebell,1.5548264145022364]
[943157251875004416,OHS Stuco,1.5487386064515543]
[3382100379,inwazja azjatów | in love with mark tuan,1.5446821100486392]
[3564672379,Marie Anne,1.544418406024847]
[2914141271,ULRICH Eric,1.5428819135886969]
[997452966746566656,scenery💜,1.5422171914641132]
[23080231,Refreshing 90.9fm,1.5357552496391091]
[4307852837,سلمى,1.5316152041024857]
[868940611797364736,Darin Hickling,1.5293519495211547]
[1109195186318512129,Alison Tiffany,1.5287588821017497]
[3880815849,Anne-Marie,1.5283265044960075]
[1049678037913137152,Foxy Brown🤩,1.5230064752808994]
[2829916561,king bee,1.518446053583859]
[267296716,Vᥲᥣᥱᥒtιᥒᥱ.,1.516882122668889]
[894534167760916480,Kaisa,1.5149142351546305]
[1140150085,WTC Keitrappers,1.5117511215995227]
[21766435,Spectrum News CNY,1.5108132513089614]
[2773481839,Dave Diller,1.5064605553915582]
[568137605,Sebyde Security,1.505520886177059]
[333458263,Mount Vernon Flats,1.5047990996834968]
[949176410328969217,QULTY, QFD'd BIGOT 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧🇺🇸,1.5013396083192574]
[880482227225845761,lucia,1.4991660396360615]
[3261181743,🔪🌹 omega chelly,1.4928328072726467]
[223563723,AL!3N,1.4905262513378077]
[727029560982777856,９２９７,1.488329683500123]
[15957671,Chris Parente,1.486412768864477]
[2478992279,alsmaar Pieter C,1.4845462115102994]
[922228713344905226,Martijn Suurenbroek,1.4803751828721707]
[237485810,Laramie Live,1.4786181455774168]
[4724593109,Freya Ingva,1.4730683990879723]
[3072656099,s👅,1.4729502488664072]
[1066761591830458368,Bre #JKW4P,1.4681416272992087]
[1936006590,Charles McElwee,1.4674042619182772]
[43104516,Graham Farmelo,1.467287335982612]
[25177918,Hannah Giorgis,1.46189335858469]
[900138488053592065,Lily Moore,1.461552487466819]
[1325810796,William H,1.457300581082295]
[1100974661901312001,Bara Bahaduri,1.4561259916026201]
[1070070332155932672,Century 21 Novus,1.4517766750921668]
[3266165137,#CBNfor2K19,1.449276599393882]
[1657794571,Heidi Burdett,1.4461383968209645]
[942153303168655360,Elysia♐️🤷🏾‍♀️✨,1.445027672410917]
[1728656868,Across the Pond,1.4427061014584441]
[1007608721437089798,Tigerwibi,1.440871026919741]
[1707097058,hesh,1.4368155816100519]
[239870743,Rich Products Corp.,1.4356487045001471]
[92670903,Hindu Allah Alkaline-Water Jones,1.43447722422198]
[773659924505174016,Autumn Lakes,1.4304708472080974]
[1002169674694610947,Pickaway County Parks District,1.4251760492643573]
[3557757854,Chowkidar Vishal Verma,1.4245854287587103]
[726901206560337921,Tatoi 💫,1.4237648458908996]
[2425798213,Libby Finochiaro,1.4189834002746191]
[511776552,Massimiliano Trogu,1.4146057724833883]
[204941923,Face to Face Games,1.414123935861062]
[136405165,Stacy Jo🇺🇸🇨🇦🌟🌟🌟🔭🔭🔭,1.412579616878444]
[18756495,magnus sandberg,1.4125445618017058]
[337282186,rose,1.4084880940101723]
[170919329,Mike Beauvais,1.4035763515123154]
[1067617466409353216,Yosi Pirdaus,1.401863693111645]
[1060288017095626752,scott’s thots,1.4010949153980425]
[19560533,dee fields pritchett,1.3983861386303045]
[807091452207624192,Unapologetic Maadow Lover,1.393237517879888]
[22327460,latchkey kid on the luna,1.3913654687920383]
[245750555,Sandro Stealth,1.3895166838390347]
[102144469,Guilford Co. Schools,1.3882897039669984]
[616339192,Moo,1.3833631474957826]
[1059042100619034625,Novzo,1.3806972593075402]
[16699451,News 3 Now / Channel 3000,1.379131207930721]
[216794672,Robin Jansen,1.3756014225106652]
[880407292717486080,𝐛𝐢𝐫𝐢 ♥ RT PINNED,1.3747739086297948]
[929543163613712384,k,1.3702054939911743]
[4842174970,The Wood Cottage Crafts,1.3698195291665514]
[1016062222496354304,ℂ𝕒𝕥𝕠𝕟𝕜𝕒 ︽✵︽,1.3652201319209258]
[814078628,Richard Cannings,1.3630889618455782]
[1088026770287329281,siynemsi🤟🏻🤟🏻,1.3628917634998925]
[1078774993566289920,Notorious R.B.F.,1.3604995230373806]
[1054263756,jordyn,1.3598857169707945]
[763446291229609984,MDE Eagles,1.3558160566889688]
[15906942,Melissa Roberts,1.3524431576991245]
[379005130,Lincoln Christian,1.3510114808806626]
[325892915,#HandsOffVenezuela,1.3497336230504573]
[2935603379,gisselle 🧘🏻‍♀️,1.3464017184749404]
[3131083463,Tessa Bennett,1.341685343386151]
[597112352,Noah Paul LeGies,1.3416699593623072]
[337120053,EXO SVT NCT 💘💘💘,1.3397450513477147]
[145843193,Karina 💜,1.3372899228617825]
[1033569474866110466,YM,1.332628731462815]
[2282478341,Charles Lafortune,1.3311120549462552]
[988171023945089024,HunnySash,1.3299159792522082]
[881762502098505730,AMAN RAJ,1.3287983167594224]
[4825099367,Samantha,1.3287897908040902]
[755768354049298432,Dennis Insurance,1.3243528703578384]
[1072740440049369088,♡ caroline,1.321018092208774]
[789761221939507200,เด็กดีของแด๊ดฮุน,1.3205935999617735]
[1917806918,Rondon🎹,1.319793214486262]
[1027209962,no. just no.,1.315424575506214]
[872210534975758336,emotional support worm @ 21 days! 💖💕,1.3121186688656488]
[1075384613520986115,Marta | m.o.n.t D-5,1.3115586005327173]
[1008922163930386433,raia 7111,1.3107972126150111]
[18454770,🔅Don Day,1.3070972130816063]
[3226723476,🧜🏽‍♀️,1.3028251118021072]
[418628843,Sociale Partners,1.302735261599345]
[273123255,Johnnie Trash,1.3023620983456297]
[111782578,C.nettles,1.300746904411549]
[1915903291,Dee.,1.2985849305641735]
[1001688275294347264,Jellykala,1.2942200829630526]
[215588970,Robin Muyderman,1.293285153568932]
[3075691109,Oluwafunmike,1.2908628214918318]
[868190292792545280,🍀MMyLife✨,1.2898870431966816]
[899826652271841280,هتون  ✷˚ ⋆. · ✦,1.2842641357652054]
[1609377907,kisame's tapeworm,1.2822414758889114]
[875782326680264704,Belle 🌹🌸,1.2811407660171457]
[14599954,Jenny Rudd,1.2779986804276202]
[1023749178172866561,Quan,1.2756819955855823]
[35550700,Holly Tomlanovich,1.2737863237593092]
[776030042895835136,𝑫𝒂𝒆𝒏𝒐𝒓.,1.2715766821005856]
[2567499386,SoCal Women 4 Trump 🇺🇸,1.2696040707653744]
[1021376939733463040,Lynch.,1.2672205799826197]
[62996684,Roberta R. Barnes,1.262166649812724]
[1041808687071997952,Dicker Da Kicker,1.2617688118793613]
[1087760110343069697,TheMelaninPrincess👑,1.2615686356257254]
[1458104658,Virginia Gamez Bravo,1.2605157567265368]
[13629522,kurt squire,1.257473945645504]
[224034809,Freddie✨,1.2545989369542758]
[903285305163251712,BakardiBernice🖤,1.253208648243525]
[62587286,Jeff,1.2525247475753287]
[932282326523854850,🍁 Nupur 🍁,1.24898180403097]
[4312274739,Monumental Tasks,1.247447894503229]
[1546891676,☆ﾟ･*:.｡.☆ cowgirl barbie ☆.｡.:*･ﾟ☆,1.2461927027876232]
[3320941902,kris,1.2449954935316132]
[261959272,Laura Edwards-SDSU Ext Climate,1.2448417209492204]
[1470672637,Mr. Rager,1.2444433934480492]
[3126919230,RM Salt Himalayan Salt Manufacturers,1.2409065922593523]
[475997914,Laura Murphy,1.2406497131968637]
